datetime,account,category,amount,currency,note,record_type
2016-11-14 00:00:00,One,增肥,-130.0,TWD,麥噹噹,transaction
2016-11-14 00:00:00,One,增肥,-180.0,TWD,餛飩麵,transaction
2016-11-16 00:00:00,One,增肥,-110.0,TWD,早餐,transaction
2016-11-16 00:00:00,One,增肥,-240.0,TWD,,transaction
2016-11-17 00:00:00,One,增肥,-38.0,TWD,,transaction
2016-11-17 00:00:00,One,增肥,-110.0,TWD,,transaction
2016-11-18 00:00:00,One,增肥,-420.0,TWD,諾貝爾,transaction
2016-11-19 00:00:00,One,苦口,-240.0,TWD,,transaction
2016-11-19 00:00:00,One,增肥,-578.0,TWD,早餐,transaction
2016-11-19 00:00:00,One,補給,250.0,TWD,,transaction
2016-11-20 00:00:00,One,汽車,-70.0,TWD,洗車,transaction
2016-11-20 00:00:00,One,增肥,-65.0,TWD,,transaction
2016-11-21 00:00:00,One,補給,100.0,TWD,,transaction
2016-11-21 00:00:00,One,增肥,-100.0,TWD,,transaction
2016-11-22 00:00:00,One,增肥,-575.0,TWD,,transaction
2016-11-22 00:00:00,One,增肥,-70.0,TWD,,transaction
2016-11-22 00:00:00,One,補給,500.0,TWD,,transaction
2016-11-24 00:00:00,One,汽車,-1206.0,TWD,罰單,transaction
2016-11-24 00:00:00,One,增肥,-110.0,TWD,,transaction
2016-11-24 00:00:00,One,增肥,-390.0,TWD,Mos Burger,transaction
2016-11-25 00:00:00,One,增肥,-70.0,TWD,,transaction
2016-11-26 00:00:00,One,該死,-200.0,TWD,,transaction
2016-11-28 00:00:00,One,增肥,-814.0,TWD,,transaction
2016-11-28 00:00:00,One,增肥,-98.0,TWD,麥噹噹,transaction
2016-11-29 00:00:00,One,增肥,-98.0,TWD,,transaction
2016-11-29 00:00:00,One,增肥,-90.0,TWD,,transaction
2016-11-29 00:00:00,One,增肥,-52.0,TWD,,transaction
